id	dilemma_key	option_key	value	target
#cdir_events_dilemma_option_junctions_tables;1;db/cdir_events_dilemma_option_junctions_tables/land_encounters_and_points_of_interest				
7017900545	land_enc_dilemma_skirmish_cth	GEN_TARGET_NONE		default
7017900546	land_enc_dilemma_skirmish_cth	VAR_CHANCE	100	default
7017900547	land_enc_dilemma_skirmish_cth	VAR_FOLLOWUP_CHANCE	100	default
7017900548	land_enc_dilemma_skirmish_kis	GEN_TARGET_NONE		default
7017900549	land_enc_dilemma_skirmish_kis	VAR_CHANCE	100	default
7017900550	land_enc_dilemma_skirmish_kis	VAR_FOLLOWUP_CHANCE	100	default
7017900551	land_enc_dilemma_skirmish_ogr	GEN_TARGET_NONE		default
7017900552	land_enc_dilemma_skirmish_ogr	VAR_CHANCE	100	default
7017900553	land_enc_dilemma_skirmish_ogr	VAR_FOLLOWUP_CHANCE	100	default
7017900554	land_enc_dilemma_skirmish_nur	GEN_TARGET_NONE		default
7017900555	land_enc_dilemma_skirmish_nur	VAR_CHANCE	100	default
7017900556	land_enc_dilemma_skirmish_nur	VAR_FOLLOWUP_CHANCE	100	default
7017900557	land_enc_dilemma_skirmish_tze	GEN_TARGET_NONE		default
7017900558	land_enc_dilemma_skirmish_tze	VAR_CHANCE	100	default
7017900559	land_enc_dilemma_skirmish_tze	VAR_FOLLOWUP_CHANCE	100	default
7017900560	land_enc_dilemma_underground_cth	GEN_TARGET_NONE		default
7017900561	land_enc_dilemma_underground_cth	VAR_CHANCE	100	default
7017900562	land_enc_dilemma_underground_cth	VAR_FOLLOWUP_CHANCE	100	default
7017900563	land_enc_dilemma_underground_kis	GEN_TARGET_NONE		default
7017900564	land_enc_dilemma_underground_kis	VAR_CHANCE	100	default
7017900565	land_enc_dilemma_underground_kis	VAR_FOLLOWUP_CHANCE	100	default
7017900566	land_enc_dilemma_underground_ogr	GEN_TARGET_NONE		default
7017900567	land_enc_dilemma_underground_ogr	VAR_CHANCE	100	default
7017900568	land_enc_dilemma_underground_ogr	VAR_FOLLOWUP_CHANCE	100	default
7017900569	land_enc_dilemma_underground_tze	GEN_TARGET_NONE		default
7017900570	land_enc_dilemma_underground_tze	VAR_CHANCE	100	default
7017900571	land_enc_dilemma_underground_tze	VAR_FOLLOWUP_CHANCE	100	default
7017900572	land_enc_dilemma_bandits_emp	GEN_TARGET_NONE		default
7017900573	land_enc_dilemma_bandits_emp	VAR_CHANCE	100	default
7017900574	land_enc_dilemma_bandits_emp	VAR_FOLLOWUP_CHANCE	100	default
7017900575	land_enc_dilemma_bandits_wef	GEN_TARGET_NONE		default
7017900576	land_enc_dilemma_bandits_wef	VAR_CHANCE	100	default
7017900577	land_enc_dilemma_bandits_wef	VAR_FOLLOWUP_CHANCE	100	default
7017900578	land_enc_dilemma_bandits_nor	GEN_TARGET_NONE		default
7017900579	land_enc_dilemma_bandits_nor	VAR_CHANCE	100	default
7017900580	land_enc_dilemma_bandits_nor	VAR_FOLLOWUP_CHANCE	100	default
7017900581	land_enc_dilemma_incursion_army_hef	GEN_TARGET_NONE		default
7017900582	land_enc_dilemma_incursion_army_hef	VAR_CHANCE	100	default
7017900583	land_enc_dilemma_incursion_army_hef	VAR_FOLLOWUP_CHANCE	100	default
7017900584	land_enc_dilemma_incursion_army_lzd	GEN_TARGET_NONE		default
7017900585	land_enc_dilemma_incursion_army_lzd	VAR_CHANCE	100	default
7017900586	land_enc_dilemma_incursion_army_lzd	VAR_FOLLOWUP_CHANCE	100	default
7017900587	land_enc_dilemma_incursion_army_vco	GEN_TARGET_NONE		default
7017900588	land_enc_dilemma_incursion_army_vco	VAR_CHANCE	100	default
7017900589	land_enc_dilemma_incursion_army_vco	VAR_FOLLOWUP_CHANCE	100	default
7017900590	land_enc_dilemma_surprise_attack_bst	GEN_TARGET_NONE		default
7017900591	land_enc_dilemma_surprise_attack_bst	VAR_CHANCE	100	default
7017900592	land_enc_dilemma_surprise_attack_bst	VAR_FOLLOWUP_CHANCE	100	default
7017900593	land_enc_dilemma_surprise_attack_skv	GEN_TARGET_NONE		default
7017900594	land_enc_dilemma_surprise_attack_skv	VAR_CHANCE	100	default
7017900595	land_enc_dilemma_surprise_attack_skv	VAR_FOLLOWUP_CHANCE	100	default
7017900596	land_enc_dilemma_battlefield_grn	GEN_TARGET_NONE		default
7017900597	land_enc_dilemma_battlefield_grn	VAR_CHANCE	100	default
7017900598	land_enc_dilemma_battlefield_grn	VAR_FOLLOWUP_CHANCE	100	default
7017900599	land_enc_dilemma_battlefield_def	GEN_TARGET_NONE		default
7017900600	land_enc_dilemma_battlefield_def	VAR_CHANCE	100	default
7017900601	land_enc_dilemma_battlefield_def	VAR_FOLLOWUP_CHANCE	100	default
