id	incident_key	option_key	value	target
#cdir_events_incident_option_junctions_tables;1;db/cdir_events_incident_option_junctions_tables/land_encounters_and_points_of_interest				
7017900572	land_enc_incident_tomb_robbing	VAR_CHANCE	100	default
7017900573	land_enc_incident_tomb_robbing	GEN_TARGET_MODEL		default
7017900574	land_enc_incident_abandoned_camp	VAR_CHANCE	100	default
7017900575	land_enc_incident_abandoned_camp	GEN_TARGET_MODEL		default
7017900576	land_enc_incident_buried_relics	VAR_CHANCE	100	default
7017900577	land_enc_incident_buried_relics	GEN_TARGET_MODEL		default
7017900578	land_enc_incident_hidden_temple	VAR_CHANCE	100	default
7017900579	land_enc_incident_hidden_temple	GEN_TARGET_MODEL		default
7017900580	land_enc_incident_caravan_remnants	VAR_CHANCE	100	default
7017900581	land_enc_incident_caravan_remnants	GEN_TARGET_MODEL		default
7017900582	land_enc_incident_legendary_bard	VAR_CHANCE	100	default
7017900583	land_enc_incident_legendary_bard	GEN_TARGET_NONE		default
7017900584	land_enc_incident_whispers_of_the_gods	VAR_CHANCE	100	default
7017900585	land_enc_incident_whispers_of_the_gods	GEN_TARGET_MODEL		default
7017900586	land_enc_incident_battle_won_bandits	VAR_CHANCE	100	default
7017900587	land_enc_incident_battle_won_bandits	GEN_TARGET_MODEL		default
7017900588	land_enc_incident_battle_avoided_bandits	VAR_CHANCE	100	default
7017900589	land_enc_incident_battle_avoided_bandits	GEN_TARGET_MODEL		default
7017900590	land_enc_incident_battle_won_incursion_hef	VAR_CHANCE	100	default
7017900591	land_enc_incident_battle_won_incursion_hef	GEN_TARGET_MODEL		default
7017900592	land_enc_incident_battle_won_incursion_lzd	VAR_CHANCE	100	default
7017900593	land_enc_incident_battle_won_incursion_lzd	GEN_TARGET_MODEL		default
7017900594	land_enc_incident_battle_won_incursion_vco	VAR_CHANCE	100	default
7017900595	land_enc_incident_battle_won_incursion_vco	GEN_TARGET_MODEL		default
7017900596	land_enc_incident_battle_avoided_incursion	VAR_CHANCE	100	default
7017900597	land_enc_incident_battle_avoided_incursion	GEN_TARGET_MODEL		default
7017900598	land_enc_incident_battle_won_surprise_bst	VAR_CHANCE	100	default
7017900599	land_enc_incident_battle_won_surprise_bst	GEN_TARGET_MODEL		default
7017900600	land_enc_incident_battle_won_surprise_skv	VAR_CHANCE	100	default
7017900601	land_enc_incident_battle_won_surprise_skv	GEN_TARGET_MODEL		default
7017900602	land_enc_incident_battle_avoided_surprise	VAR_CHANCE	100	default
7017900603	land_enc_incident_battle_avoided_surprise	GEN_TARGET_MODEL		default
7017900604	land_enc_incident_battle_won_battlefield_grn	VAR_CHANCE	100	default
7017900605	land_enc_incident_battle_won_battlefield_grn	GEN_TARGET_MODEL		default
7017900606	land_enc_incident_battle_won_battlefield_def	VAR_CHANCE	100	default
7017900607	land_enc_incident_battle_won_battlefield_def	GEN_TARGET_MODEL		default
7017900608	land_enc_incident_battle_won_battlefield_vmp	VAR_CHANCE	100	default
7017900609	land_enc_incident_battle_won_battlefield_vmp	GEN_TARGET_MODEL		default
7017900610	land_enc_incident_battle_won_battlefield_tmb	VAR_CHANCE	100	default
7017900611	land_enc_incident_battle_won_battlefield_tmb	GEN_TARGET_MODEL		default
7017900612	land_enc_incident_battle_avoided_battlefield	VAR_CHANCE	100	default
7017900613	land_enc_incident_battle_avoided_battlefield	GEN_TARGET_MODEL		default
