key	text	tooltip
#Loc PackedFile;1;text/db/land_enc_and_poi_campaign_interactable_marker_infos.loc		
campaign_interactable_marker_infos_tooltip_encounter_marker_33	A point of interest. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
campaign_interactable_marker_infos_name_encounter_marker_33	Point of interest	true
campaign_interactable_marker_infos_tooltip_encounter_marker_34	A point of interest. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
campaign_interactable_marker_infos_name_encounter_marker_34	Point of interest	true
campaign_interactable_marker_infos_tooltip_encounter_marker_35	A point of interest. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
campaign_interactable_marker_infos_name_encounter_marker_35	Point of interest	true
campaign_interactable_marker_infos_tooltip_encounter_marker_36	A point of interest. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
campaign_interactable_marker_infos_name_encounter_marker_36	Point of interest	true
campaign_interactable_marker_infos_tooltip_encounter_marker_37	A point of interest. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
campaign_interactable_marker_infos_name_encounter_marker_37	Point of interest	true
campaign_interactable_marker_infos_tooltip_encounter_marker_38	A point of interest. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
campaign_interactable_marker_infos_name_encounter_marker_38	Point of interest	true
campaign_interactable_marker_infos_tooltip_encounter_marker_39	A point of interest. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
campaign_interactable_marker_infos_name_encounter_marker_39	Point of interest	true
campaign_interactable_marker_infos_tooltip_encounter_marker_40	A point of interest. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
campaign_interactable_marker_infos_name_encounter_marker_40	Point of interest	true
campaign_interactable_marker_infos_tooltip_encounter_marker_41	A point of interest. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
campaign_interactable_marker_infos_name_encounter_marker_41	Point of interest	true
campaign_interactable_marker_infos_tooltip_encounter_marker_42	A point of interest. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
campaign_interactable_marker_infos_name_encounter_marker_42	Point of interest	true
campaign_interactable_marker_infos_tooltip_encounter_marker_43	A point of interest. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
campaign_interactable_marker_infos_name_encounter_marker_43	Point of interest	true
campaign_interactable_marker_infos_tooltip_encounter_marker_44	A point of interest. [[col:magic]]This can be searched with a [[img:icon_general]][[/img]]Lord.[[/col]]	true
campaign_interactable_marker_infos_name_encounter_marker_44	Point of interest	true
