key	text	tooltip
#Loc PackedFile;1;text/db/land_enc_and_poi_dilemmas.loc		
dilemmas_localised_description_land_enc_dilemma_skirmish_cth	A cathaian general approaches you in a friendly manner, seeking an audience. He offers a friendly skirmish to mutually train our armies in order to become stronger to battle our enemies. Do we accept the offer?	false
dilemmas_localised_title_land_enc_dilemma_skirmish_cth	A Friendly Skirmish	false
dilemmas_localised_description_land_enc_dilemma_skirmish_kis	A kislevian general approaches you in a friendly manner, seeking an audience. He offers a friendly skirmish to mutually train our armies in order to become stronger to battle our enemies. Do we accept the offer?	false
dilemmas_localised_title_land_enc_dilemma_skirmish_kis	A Friendly Skirmish	false
dilemmas_localised_description_land_enc_dilemma_skirmish_ogr	An ogre general approaches you in a friendly manner, seeking an audience. He offers a friendly skirmish to mutually train our armies in order to become stronger to battle our enemies. Do we accept the offer?	false
dilemmas_localised_title_land_enc_dilemma_skirmish_ogr	A Friendly Skirmish	false
dilemmas_localised_description_land_enc_dilemma_skirmish_nur	A nurgle general approaches you in a friendly manner, seeking an audience. He offers a friendly skirmish to mutually train our armies in order to become stronger to battle our enemies. Do we accept the offer?	false
dilemmas_localised_title_land_enc_dilemma_skirmish_nur	A Friendly Skirmish	false
dilemmas_localised_description_land_enc_dilemma_skirmish_tze	A tzeenchian general approaches you in a friendly manner, seeking an audience. He offers a friendly skirmish to mutually train our armies in order to become stronger to battle our enemies. He says he sees many battles in our future and we will need it. Do we accept the offer?	false
dilemmas_localised_title_land_enc_dilemma_skirmish_tze	A Friendly Skirmish	false
dilemmas_localised_description_land_enc_dilemma_underground_cth	During the trip we come across a battered camp, full of colorful and clearly hostile characters, who do not seem to like our presence. Our general salutes, thanking the dragon for his love. Those gathered hesitantly raise their weapons and seem ready to attack us. What should we do?\\n	false
dilemmas_localised_title_land_enc_dilemma_underground_cth	Nascent Rebellion	false
dilemmas_localised_description_land_enc_dilemma_underground_kis	During the trip we come across a battered camp, full of colorful and clearly hostile characters, who do not seem to like our presence. Our general salutes, thanking Ursun for his love. Those gathered hesitantly raise their weapons and seem ready to attack us. What should we do?	false
dilemmas_localised_title_land_enc_dilemma_underground_kis	Nascent Rebellion	false
dilemmas_localised_description_land_enc_dilemma_underground_ogr	During the trip we come across a battered camp, full of colorful and clearly hostile characters, who do not seem to like our presence. Our general salutes, thanking the Maw for their blessings. Those gathered hesitantly raise their weapons and seem ready to attack us. What should we do?\\n	false
dilemmas_localised_title_land_enc_dilemma_underground_ogr	Nascent Rebellion	false
