key	text	tooltip
#Loc PackedFile;1;text/db/land_enc_and_poi_effect_bundles.loc		
effect_bundles_localised_title_land_enc_effect_abandoned_camp	Abandoned Camp Supplies	false
effect_bundles_localised_description_land_enc_effect_abandoned_camp	Sheer luck or the blessing of your god has given the army plenty of supplies.	false
effect_bundles_localised_title_land_enc_effect_hidden_temple	Hidden Temple Visited	false
effect_bundles_localised_description_land_enc_effect_hidden_temple	A communion with the graces, inspires the army to achieve greatness.	false
effect_bundles_localised_title_land_enc_effect_legendary_bard	A Legendary Bard Saved	false
effect_bundles_localised_description_land_enc_effect_legendary_bard	Whan the turuf is thy tour, And thy pit is thy bour, Thy fel and thy whitë throtë, Shullen wormës to notë.	false
effect_bundles_localised_title_land_enc_effect_whispers_of_the_gods	Whispers Of The Gods	false
effect_bundles_localised_description_land_enc_effect_whispers_of_the_gods	Zealotry has taken over the army. They will strike fear even unto the demons themselves!	false
effect_bundles_localised_title_land_enc_effect_battle_won_incursion_hef	For the greater good	true
effect_bundles_localised_description_land_enc_effect_battle_won_incursion_hef	The fresh memory of repelling the elven incursion is still with us.	true
effect_bundles_localised_title_land_enc_effect_battle_won_incursion_lzd	A suit of scales	true
effect_bundles_localised_description_land_enc_effect_battle_won_incursion_lzd	The fresh memory of repelling the lizardmen incursion is still with us.	true
effect_bundles_localised_title_land_enc_effect_battle_won_incursion_vco	Drowned twice	true
effect_bundles_localised_description_land_enc_effect_battle_won_incursion_vco	The fresh memory of repelling the undead pirates incursion is still with us.	true
effect_bundles_localised_title_land_enc_effect_battle_avoided_incursion	Dishonor	true
effect_bundles_localised_description_land_enc_effect_battle_avoided_incursion	You did not avoid the plundering of territory of interest. You are despised by its people.	true
effect_bundles_localised_title_land_enc_effect_battle_won_surprise_bst	Nature cleansed	true
effect_bundles_localised_description_land_enc_effect_battle_won_surprise_bst	We have rid the world of destructive corruption.	true
effect_bundles_localised_title_land_enc_effect_battle_won_surprise_skv	A rat's tail for good luck	true
effect_bundles_localised_description_land_enc_effect_battle_won_surprise_skv	We have rid the world of unseen corruption.	true
effect_bundles_localised_title_land_enc_effect_battle_avoided_surprise	Quick thinking!	true
effect_bundles_localised_description_land_enc_effect_battle_avoided_surprise	The ambush failed and we are more alert.	true
effect_bundles_localised_title_land_enc_effect_battle_avoided_battlefield	Wise retreat	true
effect_bundles_localised_description_land_enc_effect_battle_avoided_battlefield	In the fight with a superior adversary, retreat is no shame.	true
